	ResponseID	OrganismID	MatrixID	In_on	Temperature	Initial Value	Lag	Maximum Rate	Final Value
0	43334	lm	beef	ground beef	10.0	0.1039270340050542	8.715113801230004	0.10621896817229018	5.7790138041750945
1	43335	lm	beef	ground beef	10.0	-0.0719784562445342	31.888755943402455	0.13421305224921726	4.859875910791752
2	43336	lm	beef	ground beef	10.0	0.2590366477311236	45.06212139242896	0.20821831601762306	4.906487758224441
3	43337	lm	beef	ground beef	10.0	-0.07041709841070011	4.375853497399631	0.0899931939846195	4.016530613622553
4	43352	bc	produce	mash carrot	12.0	0.6616551425386326	32.86665045010156	0.19810578119603198	3.1899999792210694
5	43353	bc	produce	mash carrot	12.0	-0.1972285480234206	12.725390494024202	0.124078571471585	0.6633333221262652
6	43354	bc	produce	mash carrot	12.0	-0.14992203611694194	0.24503585159560745	0.014470151396989478	2.4510627754280696
7	43338	lm	beef	ground beef	10.0	-0.03521450465821529	14.23880005962729	0.13060790439262468	4.048396147952674
8	43355	bc	produce	mash carrot	12.0	-0.22637456129095143	18.370973856174825	0.03862802550219479	1.050000055419507
9	43339	lm	beef	ground beef	10.0	0.16568412218353143	27.886659273806206	0.2026372473885963	4.053649723516104
10	43360	bc	produce	mash carrot	12.0	0.9181972365083342	21.13497949235388	0.045786602971639126	3.803333416563712
11	43361	bc	produce	mash carrot	12.0	-0.14592617612592612	25.51224482359807	0.022728837111928888	1.7706692527046808
12	122	lm	beef	ground beef	3.0	-0.5911929129885612	251.45641148669554	0.03515129951660062	-0.16517329763130756
13	43362	bc	produce	mash carrot	12.0	-7.923786448578588e-08	362.92819178217997	0.22513613041375938	1.1500001236155837
14	43363	bc	produce	mash carrot	12.0	-0.3581304315637475	22.838472776818072	0.22781291994148273	1.89833332823624
15	123	lm	beef	ground beef	3.0	-0.292565519700103	328.73832319689285	0.016236180489735578	10.608618981331608
16	124	lm	beef	ground beef	3.0	-0.45775484977294784	293.2326443561829	0.019453171271977168	0.6508927834459366
17	125	lm	beef	ground beef	3.0	3.0822488875899016e-07	0.008561565868621035	0.1168010636628795	0.6453891244168302
18	126	lm	beef	ground beef	3.0	0.00568340015516886	0.020334999486557134	0.049176298266533566	0.7580366305611819
19	127	lm	beef	ground beef	3.0	0.00010029666443494859	0.012975266927358734	0.0770697054333682	0.6879096510050409
20	43340	lm	beef	ground beef	10.0	-0.018328510609736337	53.51132814366466	0.07702498934239459	4.456571095099516
21	43341	lm	beef	ground beef	10.0	-0.04074109887900963	42.25376415139701	0.07606230795789896	4.766404647936201
22	43342	lm	beef	ground beef	10.0	-0.004307536765825527	40.50550153064905	0.07272020399324823	4.452989360978063
23	43343	lm	beef	ground beef	10.0	-0.03873368910615607	18.770011226609224	0.0811943361720827	5.292715089321979
24	43344	lm	beef	ground beef	10.0	0.01704421466745986	0.014583018387052062	0.06857290949368054	5.5197214433600195
25	43345	lm	beef	ground beef	10.0	0.004250947383116293	10.059688617510242	0.07673889198163827	5.271801447031181
26	19566	lm	seafood	seafood salad with mayonnaise - fish part	12.0	0.24411859826722274	103.49733389792783	0.09300390417462609	5.700264058596896
27	19567	lm	seafood	seafood salad with mayonnaise - fish part	12.0	0.20587887266298474	105.45693270477115	0.09367774597884879	5.637643852919596
28	19568	lm	seafood	seafood salad with mayonnaise - fish part	12.0	0.28623565529040845	101.29702211041833	0.09200525968648413	5.773680833422792
29	19569	lm	seafood	seafood salad with mayonnaise - fish part	12.0	0.2215526029913114	76.38672276559528	0.07791662968116844	5.441896545588057
30	19570	lm	seafood	seafood salad with mayonnaise - fish part	12.0	0.2613989032721726	78.34417856917557	0.07858721152247834	5.417039860534829
31	19571	lm	seafood	seafood salad with mayonnaise - fish part	12.0	0.1804374074779153	73.93617313389893	0.07708189975396249	5.4905957198340545
32	19572	lm	seafood	seafood salad with mayonnaise - fish part	12.0	0.03671449869946818	15.37335056537328	0.05483067929272284	5.916365474718749
33	19573	lm	seafood	seafood salad with mayonnaise - fish part	12.0	0.03316947734467828	18.87432860016342	0.05664913881084463	5.901789177446252
